"","f1","f2","f3","f4","f5","f6","f7","f8","f9","f10"
"c1",2,2,1,2,3,2,3,3,2,2
"c1",2,2,1,2,3,2,3,1,1,2
"c1",1,2,1,2,3,2,2,3,1,2
"c1",2,2,1,2,3,2,2,1,1,2
"c1",2,2,1,2,3,2,2,1,2,2
"c1",2,2,1,2,3,2,3,1,2,2
"c2",2,3,2,2,1,3,1,3,1,2
"c1",2,2,1,2,3,2,1,1,2,1
"c1",2,2,1,2,3,2,2,1,1,2
"c1",1,2,1,2,3,2,3,1,2,2
"c1",2,2,1,2,3,2,2,1,1,2
"c1",2,2,1,2,3,3,3,1,1,1
"c1",2,2,1,2,3,2,3,1,2,2
"c1",2,2,1,1,3,1,2,1,1,2
"c1",2,2,1,2,3,2,3,1,1,1
"c1",2,2,1,2,3,2,2,1,2,2
"c1",2,2,1,2,3,2,2,3,1,1
"c1",2,2,1,2,3,2,1,1,1,1
"c1",2,2,1,2,3,2,3,1,2,2
"c1",2,2,1,2,3,2,2,3,1,2
"c1",2,2,1,2,3,2,2,1,2,2
"c2",2,3,1,2,2,3,3,3,1,3
"c1",2,2,2,2,3,2,1,1,2,2
"c1",2,2,1,2,3,2,2,1,2,1
"c1",2,2,1,2,3,2,2,1,2,2
"c1",2,2,1,2,3,2,2,1,1,2
"c3",2,3,1,3,1,3,1,2,3,3
"c1",2,2,1,2,3,2,2,1,2,1
"c1",2,2,1,2,3,1,2,3,2,2
"c1",2,2,1,2,3,2,2,1,2,1
"c1",2,2,1,2,3,2,2,1,1,2
"c1",2,2,1,2,3,2,2,3,2,2
"c1",2,2,1,2,3,2,3,1,1,2
"c1",2,2,1,2,3,2,2,1,2,2
"c1",1,2,1,2,3,2,2,1,2,2
"c1",2,2,1,2,3,2,2,1,2,2
"c1",2,2,2,2,3,2,3,1,2,2
"c1",2,2,1,2,3,2,2,1,1,2
"c1",2,2,1,2,3,2,2,1,1,2
"c1",2,2,1,2,3,2,1,3,1,1
"c1",2,2,1,2,3,2,3,1,1,2
"c1",2,2,1,2,3,2,2,1,1,2
"c1",2,2,1,2,3,2,2,3,2,1
"c1",2,2,1,2,3,2,1,1,2,2
"c1",2,2,1,2,3,2,2,1,2,2
"c1",2,2,1,2,3,2,2,1,1,2
"c1",2,2,1,2,3,2,3,1,2,2
"c1",2,2,1,2,3,2,2,1,1,2
"c1",2,2,1,2,3,2,3,1,1,2
"c1",2,2,1,2,3,2,2,1,2,2
"c1",2,2,1,2,3,2,2,1,2,2
"c1",2,2,1,2,3,2,2,3,1,2
"c1",2,2,1,2,3,2,2,3,1,2
"c1",2,2,1,2,3,2,3,1,2,2
"c1",2,2,2,2,3,2,3,1,1,2
"c1",2,2,1,2,3,2,3,1,1,1
"c1",2,2,1,2,3,2,2,1,2,2
"c1",2,2,1,2,3,2,3,3,2,1
"c1",2,2,1,2,3,2,2,3,1,2
"c1",2,2,3,2,3,2,2,3,2,2
"c1",2,2,1,2,3,2,1,1,1,2
"c1",2,2,3,2,3,2,2,1,2,2
"c1",1,2,1,2,3,2,2,1,2,2
"c1",2,2,1,1,3,2,1,1,2,2
"c1",2,2,1,2,3,2,2,1,1,2
"c1",2,2,1,2,3,2,2,1,2,2
"c1",2,2,1,2,3,2,2,1,1,2
"c1",2,2,1,2,3,2,3,1,2,2
"c1",2,2,2,2,3,2,2,3,1,2
"c4",3,1,3,3,2,1,3,2,2,3
"c1",2,2,1,2,3,2,3,1,2,1
"c1",2,2,1,2,3,3,2,1,1,2
"c1",2,2,1,2,3,2,2,1,1,2
"c1",2,2,1,2,3,2,2,1,1,2
"c1",2,2,1,2,3,2,2,1,2,2
"c1",2,2,1,2,3,2,2,1,1,2
"c1",2,2,1,2,3,3,2,1,1,2
"c1",2,2,1,2,3,1,1,1,2,2
"c1",2,2,1,2,3,2,2,1,2,2
"c1",2,2,1,2,3,1,1,1,1,1
"c1",2,2,1,2,3,2,1,1,2,2
"c1",2,2,1,2,3,2,3,3,2,2
"c5",1,1,1,2,3,3,1,2,1,2
"c1",2,2,1,2,3,2,3,1,1,2
"c1",1,2,1,2,3,2,1,1,2,2
"c1",2,2,1,2,1,2,3,1,2,2
"c1",2,2,1,2,3,2,1,1,2,2
"c1",2,2,1,2,3,2,2,1,1,1
"c1",2,2,1,2,3,2,3,1,2,2
"c3",2,3,2,3,3,3,3,2,3,1
"c1",1,2,1,2,3,3,2,1,1,2
"c1",2,2,1,2,3,2,1,1,2,2
"c1",2,2,1,2,3,2,3,1,1,2
"c1",2,2,1,2,3,2,3,1,2,2
"c1",2,2,1,1,3,2,3,1,1,1
"c1",2,2,1,2,3,2,3,1,1,1
"c1",2,2,1,2,3,2,3,3,2,2
"c1",2,2,1,2,3,2,2,1,1,2
"c1",2,2,1,3,3,2,3,1,2,2
"c1",2,2,1,2,3,2,2,1,1,2
